text,label,source
The way Elon speaks it's like he's from the future and is careful not to say something to disrupt the time space continuum.,reaction,Joe Rogan Experience #1169 - Elon Musk
I love that Elon’s idea of a joke is creating a company,reaction,Joe Rogan Experience #1169 - Elon Musk
It looks like they both dressed to make the other person feel comfortable.,reaction,Joe Rogan Experience #1169 - Elon Musk
“I’d rather be optimistic and wrong than be pessimistic and right” -Elon Musk,hot_take,Joe Rogan Experience #1169 - Elon Musk
"In my opinion, this has to be one of the coolest aliens Joe Rogans ever interviewed.",reaction,Joe Rogan Experience #1169 - Elon Musk
When he talks to him about A.I its like he knows something he can't say ... he looks upset .. that scares me,reaction,Joe Rogan Experience #1169 - Elon Musk
How could I miss this master piece for Straight 7 Years,reaction,Joe Rogan Experience #1169 - Elon Musk
"This guy speaks like he knows something, and it freaks me out.",reaction,Joe Rogan Experience #1169 - Elon Musk
"I’d rather be optimistic and wrong than pessimistic and right.

-Elon",reaction,Joe Rogan Experience #1169 - Elon Musk
The guy builds spaceships and underground roads and talks about it like he made a grilled cheese sandwich.,hot_take,Joe Rogan Experience #1169 - Elon Musk
He talks like he can see invisible aliens in the room holding guns at him incase he mentions he has been granted time travel by the aliens he befriended,hot_take,Joe Rogan Experience #1169 - Elon Musk
"I wish Elon finds some true peace internally.  I found true peace by volunteering at nursing homes. Helping the elderly by spending time with them, and they share stories that help you grow your mind in a new way of thankfulness.  Plus it’s a great way to show the love that you were talking about.",reaction,Joe Rogan Experience #1169 - Elon Musk
Before Elon says something his mind is trying to predict every possible outcome for each sentence he wants to use.,hot_take,Joe Rogan Experience #1169 - Elon Musk
"""Hole in the ground is better than no hole in the ground."" -Elon Musk",reaction,Joe Rogan Experience #1169 - Elon Musk
"I have a whole different view of Elon after this interview. He is an incredibly empathetic person. He's so sad.... like anxiety-ridden... and all his worries are legitimate.... I couldn't imagine having his level of awareness and intelligence... and then trying to have anyone listen, or understand him.",reaction,Joe Rogan Experience #1169 - Elon Musk
“I tried for years to get people to slow down a.i. To get people to regulate a.i. but they wouldn’t listen” that was terrifying.,reaction,Joe Rogan Experience #1169 - Elon Musk
Watching in 2026. I want this Elon back.,reaction,Joe Rogan Experience #1169 - Elon Musk
He said he's an alien but no one is taking him seriously.,reaction,Joe Rogan Experience #1169 - Elon Musk
watching this in 2025 and man! Elon has changed a lot!,reaction,Joe Rogan Experience #1169 - Elon Musk
“A hole in the ground is better than no hole in the ground.” - Elon Musk 2018,hot_take,Joe Rogan Experience #1169 - Elon Musk
"""I'm an alien."" A comment by Elon Musk we should all take very serious.",reaction,Joe Rogan Experience #1169 - Elon Musk
So glad full episodes are back on YouTube!,reaction,Joe Rogan Experience #1169 - Elon Musk
He sounds like a doppleganger of himself who hasn't learned the part yet,reaction,Joe Rogan Experience #1169 - Elon Musk
I think it's hilarious about how excited Elon got after Joe said turn Mars into Jamaica. That brightened my day.,reaction,Joe Rogan Experience #1169 - Elon Musk
He speaks in such a calculated way. It makes me a little uncomfortable,reaction,Joe Rogan Experience #1169 - Elon Musk
elon was more cute and humble back then,reaction,Joe Rogan Experience #1169 - Elon Musk
"""I tried to convince people to slow down AI, to regulate AI. This was Futile."" The most terrifying sentence I have ever heard outside of a movie.",analysis,Joe Rogan Experience #1169 - Elon Musk
"""Spend more time with your friends and less on social media"" - Elon Musk",reaction,Joe Rogan Experience #1169 - Elon Musk
That’s the coolest and most fascinating chat I’ve seen so far,reaction,Joe Rogan Experience #1169 - Elon Musk
I can't wrap my head around how the media is more concerned about Elon taking a hit of weed than AI and where that's going.,hot_take,Joe Rogan Experience #1169 - Elon Musk
I like how Elon nods to let Joe know he’s done talking,reaction,Joe Rogan Experience #1169 - Elon Musk
The interview itself is billion times more interesting than all the weed clickbait articles combined. Shortsightness at it's clearest.,reaction,Joe Rogan Experience #1169 - Elon Musk
He just has a death crystal in his pocket and consults it everytime hes gonna answer a question.,reaction,Joe Rogan Experience #1169 - Elon Musk
7 years later and this is at 69 MILLION views. Unbelievable. And how far we've come since this interview..,reaction,Joe Rogan Experience #1169 - Elon Musk
"Joe got all dressed up for Elon and Elon probably thought he'd dress down for Joe. It's sort of sweet, in a way!",reaction,Joe Rogan Experience #1169 - Elon Musk
It’s interesting he never really answered the time management question,reaction,Joe Rogan Experience #1169 - Elon Musk
"Elon is the only person who can say I'm an alien and I have to think ""IS HE TELLING THE TRUTH?????""",reaction,Joe Rogan Experience #1169 - Elon Musk
"Why doesn't this podcast show up under the ""popular"" section of JRE as the #1 podcast by views?",analysis,Joe Rogan Experience #1169 - Elon Musk
This is the moment the timeline changed forever,reaction,Joe Rogan Experience #1169 - Elon Musk
It's so weird to see how people talked about Elon way back when compared to now.,reaction,Joe Rogan Experience #1169 - Elon Musk
The difference in public opinion on these 2 over 6 years. ...,reaction,Joe Rogan Experience #1169 - Elon Musk
I love how his reasoning for starting the tunnels in L.A. is because he lives there.,analysis,Joe Rogan Experience #1169 - Elon Musk
Great watching this in 2024,reaction,Joe Rogan Experience #1169 - Elon Musk
The fact he speaks in past tense about sentient AI makes me very nervous,reaction,Joe Rogan Experience #1169 - Elon Musk
You can tell Joe was nervous for this interview based on his shirt choice.,reaction,Joe Rogan Experience #1169 - Elon Musk
"When Elon said "".. nobody listened.. "" I legit got scared",reaction,Joe Rogan Experience #1169 - Elon Musk
Can anyone notice the change in Elon's confidence  from this video and his wonderful impromptu speeches on the stage with Donald Trump?,hot_take,Joe Rogan Experience #1169 - Elon Musk
Elon looked at that sword like he’d visually scanned it with his own eyes to really see if it was from the 1500’s lol,reaction,Joe Rogan Experience #1169 - Elon Musk
He looks like he’s speed reading off an invisible book when answering,reaction,Joe Rogan Experience #1169 - Elon Musk
"He was so stiff in this episode, he is so much looser in the newest one!",reaction,Joe Rogan Experience #1169 - Elon Musk
"this still stays the most watched, at this point Trump one had 60M views",reaction,Joe Rogan Experience #1169 - Elon Musk
No one pauses like Elon Musk: both frightening and intriguing.,reaction,Joe Rogan Experience #1169 - Elon Musk
I just come here every 3-4 hours to see how things are going,reaction,Joe Rogan Experience #1169 - Elon Musk
When Elon is worried about A.I. it means you should be worried,analysis,Joe Rogan Experience #1169 - Elon Musk
"Watch this then watch the second interview, Elon seems a totally different guy",reaction,Joe Rogan Experience #1169 - Elon Musk
Fairly convinced that this guy has an Iron Man suit that he's been tinkering on in his garage....,reaction,Joe Rogan Experience #1169 - Elon Musk
Love Elons silent head nods after he makes a statement,reaction,Joe Rogan Experience #1169 - Elon Musk
"I could not find a single news article that didn't make their main focus on the fact that he ""smoked"". For this interview, and the topics they talked about, that was the least interesting part. It made me lose even more respect for their lack of real journalism.",analysis,Joe Rogan Experience #1169 - Elon Musk
Do people want privacy? because they seem to put everything on the internet.' Truer words...truer words...Elon speaks truth.,reaction,Joe Rogan Experience #1169 - Elon Musk
He talks like an AI unlocking the feeling of understanding,reaction,Joe Rogan Experience #1169 - Elon Musk
"Crazy, this is only a few days old and it's already the most viewed JRE Podcast of all time.",reaction,Joe Rogan Experience #1169 - Elon Musk
He just gained support from so many people.,reaction,Joe Rogan Experience #1169 - Elon Musk
I feel like he knows something and is trying to tell us but is afraid to tell us at the same time because there’s consequences to him exposing the truth,reaction,Joe Rogan Experience #1169 - Elon Musk
"I've never heard the word ""pit"" that many times in less than 10 minutes",reaction,Joe Rogan Experience #1169 - Elon Musk
"EDIT: CONSPIRACY! Elon Musk took it upon himself to “try out” technology similar to neuralink and that’s why he is the way he is currently. It’s far fetched but he’s also naturally a genius and using a prototype of the neuralink made it possible for him, intelligence-wise, to turn it into a company and bring it to the public.",analysis,Joe Rogan Experience #1169 - Elon Musk
I love seeing joe talk to Elon. Like he can ask all his crazy bullshit questions and Elon is crazy enough to take them seriously and smart enough to actually answer them.,reaction,Joe Rogan Experience #1169 - Elon Musk
I'm ashamed of my self it took me so long to watch this podcast,hot_take,Joe Rogan Experience #1169 - Elon Musk
Joe Rogan fans have been waiting a long time for this interview,reaction,Joe Rogan Experience #1169 - Elon Musk
"""Love is the answer. People should be nicer to each other. Give more credit to others. Don't assume that they're mean until you know that they're actually mean. It's easy to demonise people, [but] you're usually wrong about it. People are nicer than you think."" - Elon Musk",reaction,Joe Rogan Experience #1169 - Elon Musk
"The coolest part about this interview is that in the comments section which are almost universally negative and full of trolls, people are overwhelming in support of Elon Musk. Even going so far to bash the mainstream media outlets on their own channels when they criticize him for taking a quick puff from a legal, natural plant in his downtime. It’s +1 for hope in humanity.",reaction,Joe Rogan Experience #1169 - Elon Musk
the world owes Alex Jones an apology,reaction,Joe Rogan Experience #1555 - Alex Jones & Tim Dillon
Alex is unironically a genius,reaction,Joe Rogan Experience #1555 - Alex Jones & Tim Dillon
Every Alex Jones conversation ages like fine wine,reaction,Joe Rogan Experience #1555 - Alex Jones & Tim Dillon
"Love how the older this gets, the more sense it makes",reaction,Joe Rogan Experience #1555 - Alex Jones & Tim Dillon
Alex Jones didn't waste any time he went straight to business...,reaction,Joe Rogan Experience #1555 - Alex Jones & Tim Dillon
Watching this 5 years later. You can clearly tell Joe was beginning to be comprised.,reaction,Joe Rogan Experience #1555 - Alex Jones & Tim Dillon
Alex Jones sounds like he has a diesel generator in his throat...,hot_take,Joe Rogan Experience #1555 - Alex Jones & Tim Dillon
"I want Alex Jones to voice the radio host in the next Fallout game, and talk about all the crazy stuff going on in the wasteland",hot_take,Joe Rogan Experience #1555 - Alex Jones & Tim Dillon
Alex makes Joe look like he gets his news from CNN,reaction,Joe Rogan Experience #1555 - Alex Jones & Tim Dillon
I'm starting to think that Alex Jones is a time traveler,reaction,Joe Rogan Experience #1555 - Alex Jones & Tim Dillon
This aged like wine,reaction,Joe Rogan Experience #1555 - Alex Jones & Tim Dillon
It's time to have Alex on again Joe,reaction,Joe Rogan Experience #1555 - Alex Jones & Tim Dillon
Never clicked on a video faster than this.,reaction,Joe Rogan Experience #1555 - Alex Jones & Tim Dillon
I don't think fact-checking Alex Jones went the way Spotify wanted. They're seething.,hot_take,Joe Rogan Experience #1555 - Alex Jones & Tim Dillon
"Alex Jones not flinching when Joe tells Jaime ""I hope you're googling this""",hot_take,Joe Rogan Experience #1555 - Alex Jones & Tim Dillon
"""I think we should be humans for as long as we can""

-Tim Dillon",hot_take,Joe Rogan Experience #1555 - Alex Jones & Tim Dillon
6.2 million views in less than 24 hours and they don't even put it on the trending list. Someones mad their podcast sweetheart is leaving their team.,hot_take,Joe Rogan Experience #1555 - Alex Jones & Tim Dillon
Youtube just put this gem in my front page and I just smiled like a kid on Christmas,hot_take,Joe Rogan Experience #1555 - Alex Jones & Tim Dillon
"10 million views in 3 days.
Even when YouTube tries to hide it. 
The Alex Jones effect.",hot_take,Joe Rogan Experience #1555 - Alex Jones & Tim Dillon
Joe was blind.... today he changed his mind,reaction,Joe Rogan Experience #1555 - Alex Jones & Tim Dillon
"Everyone should rewatch this in 2026, it proves how wrong they were about Trump and how right they were about the elites.",hot_take,Joe Rogan Experience #1555 - Alex Jones & Tim Dillon
Well well well. I'm 5 minutes into this interview on it seems just as relevant and true as it did 5 years ago when it came out,hot_take,Joe Rogan Experience #1555 - Alex Jones & Tim Dillon
"This was the start of Joe beginning to reject to speak about conspiracies or even exploring some. If you look at episode before and current, you see the massive difference",analysis,Joe Rogan Experience #1555 - Alex Jones & Tim Dillon
I'm watching this 5 years since it's posting......Alex is right about everything. Joe is programmed.,analysis,Joe Rogan Experience #1555 - Alex Jones & Tim Dillon
Alex told us a lot of truth. From the day Alex started exposing he's been spot on.,hot_take,Joe Rogan Experience #1555 - Alex Jones & Tim Dillon
Alex jones’ voice sounds like a diesel engine,reaction,Joe Rogan Experience #1555 - Alex Jones & Tim Dillon
Joe is stopping him TOO much. He’s not listening,reaction,Joe Rogan Experience #1555 - Alex Jones & Tim Dillon
"this podcast isnt long enough, Alex's voice isn't deep enough.",reaction,Joe Rogan Experience #1555 - Alex Jones & Tim Dillon
Joe Rogan Ruined this episode.. We need a Just Tim Dillon and Alex Jones hang out.,hot_take,Joe Rogan Experience #1555 - Alex Jones & Tim Dillon
Alex jones was right about everything!!!,reaction,Joe Rogan Experience #1555 - Alex Jones & Tim Dillon
Some people have a gravelly voice. Alex Jones' voice is bouldery.,reaction,Joe Rogan Experience #1555 - Alex Jones & Tim Dillon
"I loved seeing Tim back up Alex because Joe seems to be so worried about how what Alex is saying may come off as. Tim just needs to have Alex on, we didn’t get to hear enough of what Tim was saying.",analysis,Joe Rogan Experience #1555 - Alex Jones & Tim Dillon
Tim Dillon looks like a teenager,reaction,Joe Rogan Experience #1555 - Alex Jones & Tim Dillon
Currently the most popular episode in the history of YouTube,reaction,Joe Rogan Experience #1555 - Alex Jones & Tim Dillon
This podcast needed to happen. The universe is a little more in balance now.,hot_take,Joe Rogan Experience #1555 - Alex Jones & Tim Dillon
Alex Jones sounds like he’s talking into a fan,reaction,Joe Rogan Experience #1555 - Alex Jones & Tim Dillon
He needs Alex and Tim back on together!!!!,reaction,Joe Rogan Experience #1555 - Alex Jones & Tim Dillon
He needs Alex and Tim back on together!!!!,reaction,Joe Rogan Experience #1555 - Alex Jones & Tim Dillon
The most mind blowing thing in this is that Alex Jones is 47 and younger than joe,hot_take,Joe Rogan Experience #1555 - Alex Jones & Tim Dillon
Alex was right all along,reaction,Joe Rogan Experience #1555 - Alex Jones & Tim Dillon
alex jones sounds like he has 2 voices speaking at the same time,reaction,Joe Rogan Experience #1555 - Alex Jones & Tim Dillon
The world is alot more interesting with guys like Alex,reaction,Joe Rogan Experience #1555 - Alex Jones & Tim Dillon
it’s crazy that it’s already been 3 years since this podcast came out…time flies,analysis,Joe Rogan Experience #1555 - Alex Jones & Tim Dillon
I desperately require another Alex Jones episode.,reaction,Joe Rogan Experience #1555 - Alex Jones & Tim Dillon
The Alex Jones' JREs are the best,reaction,Joe Rogan Experience #1555 - Alex Jones & Tim Dillon
Joe trying so hard to be “reasonable” he sounds like a gatekeeper.,analysis,Joe Rogan Experience #1555 - Alex Jones & Tim Dillon
I literally listen to this every night,reaction,Joe Rogan Experience #1555 - Alex Jones & Tim Dillon
Tim is seriously growing on me.,reaction,Joe Rogan Experience #1555 - Alex Jones & Tim Dillon
