text,label,source
"Every single time in this podcast I was starting to get really interested, Joe would interrupt and stop everything by doing a mandatory fact check and stopping the conversation. if you're sitting there hoping it changes. It doesn't.",analysis,Joe Rogan Experience #1555 - Alex Jones & Tim Dillon
I miss Alex Jones being on YouTube. He's like the crazy shit talking uncle I never had.,reaction,Joe Rogan Experience #1555 - Alex Jones & Tim Dillon
"I fall asleep to this podcast all the time. We need a new Alex Jones episode with Eddie, Tim and Alex all together.",hot_take,Joe Rogan Experience #1555 - Alex Jones & Tim Dillon
I appreciate Joe's patience,reaction,Joe Rogan Experience #1555 - Alex Jones & Tim Dillon
"The difference in Joe's attitude between hearing Randall Carson talking about climate change being a natural process as proven by ice core samples, and hearing Alex Jones saying the exact same thing..",analysis,Joe Rogan Experience #1555 - Alex Jones & Tim Dillon
We owe Alex Jones an apology,reaction,Joe Rogan Experience #1555 - Alex Jones & Tim Dillon
"Returning to this in 2026, with the recent file releases, feels disturbing, but also like a strange full-circle moment",hot_take,Joe Rogan Experience #1555 - Alex Jones & Tim Dillon
The first 5 minutes off the rip hits diffrent in 2026 and im not even joking. This is possibly rogans best episode ever,hot_take,Joe Rogan Experience #1555 - Alex Jones & Tim Dillon
I’d pay money to see these two back on,reaction,Joe Rogan Experience #1555 - Alex Jones & Tim Dillon
"Joe, long time listener. Have him back on please.",reaction,Joe Rogan Experience #1555 - Alex Jones & Tim Dillon
Alex jones and Tim Dillon are national treasures. Modern day diogenes,reaction,Joe Rogan Experience #1555 - Alex Jones & Tim Dillon
I love watching Joe with Alex lol he is so good with him and stays so calm.,reaction,Joe Rogan Experience #1555 - Alex Jones & Tim Dillon
Watching this now and seeing Joe being so skeptical about everything is crazy!!! Alex jones was right on a lot of this stuff,reaction,Joe Rogan Experience #1555 - Alex Jones & Tim Dillon
"After now listening to Tim Dillon for years, that’s the most I’ve ever heard him laugh.",reaction,Joe Rogan Experience #1555 - Alex Jones & Tim Dillon
This is probably the most annoyed I’ve ever been with Joe lol,reaction,Joe Rogan Experience #1555 - Alex Jones & Tim Dillon
Thank you Joe and Alex. The conditioning could not be broken without you two,hot_take,Joe Rogan Experience #1555 - Alex Jones & Tim Dillon
Alex jones was right the whole time and all his fans knew it…funny to be back to this podcast in 2026 and everything he said was true..,hot_take,Joe Rogan Experience #1555 - Alex Jones & Tim Dillon
"I feel a little crazy knowing that when this aired I would agree with the stances Joe is taking; and I still do agree fact checking, and making counterpoints is non-negotiable in a discussion like this. But now ~6 years later, it's frustrating to see Joe instantly try to shut down anything that could be considered a ""conspiracy"", or outside of the general population's group-think.",analysis,Joe Rogan Experience #1555 - Alex Jones & Tim Dillon
Would love to hear what Alex Jones has to say today after everything that has come to light,reaction,Joe Rogan Experience #1555 - Alex Jones & Tim Dillon
Need another Alex Jones episode,reaction,Joe Rogan Experience #1555 - Alex Jones & Tim Dillon
"JR thought he was the voice of reason on this. But waay more people have seen the way the machine and its representatives work. So he just looks like an apologist for people who have claimed to be doing things for the betterment of humanity, meanwhile plotting our elimination step by step, more obvious by the day. 
Also tho Alex does need to calm tf down",analysis,Joe Rogan Experience #1555 - Alex Jones & Tim Dillon
We need Alex and Tim back on the pod ASAP,reaction,Joe Rogan Experience #1555 - Alex Jones & Tim Dillon
Mike's breathing has more horsepower than my car,reaction,Joe Rogan Experience #1805 - Mike Tyson
Mike's wisdom is truly unbelievable. Guy is wholesome,reaction,Joe Rogan Experience #1805 - Mike Tyson
"""your legacy is not what you accomplish, it's what your children say about you at the end of the day"". ... I absolutely LOVE this man... If a man lives by this principle, and loves his neighbor as himself, this world would be a wonderful place.",analysis,Joe Rogan Experience #1805 - Mike Tyson
"You can see how happy and comfortable Mike is with Joe, he's never this open and  transparent with anybody in interviews, this is what Joe does he doesn't interview he has a conversation, compare this to when Mike spoke with Vlad completely different Mike Tyson.",analysis,Joe Rogan Experience #1805 - Mike Tyson
"i love way Mike Tyson is open to learn things or the perspective he takes when talking to Joe. He reminds me of me when I'm stoned. When Joe asked Mike if he knew about the giant chimpanzees and he lite up and he responds so  enthusiastically ""no but lets check it out."" made me laugh. Not only is he one of the baddest most driven and discipline men on the planet,  i bet he be one of the coolest mfer to smoke a joint and kick it with. it would make my year to smoke a joint with Mike Tyson! Thank you for another great pod cast Joe keep em coming!",reaction,Joe Rogan Experience #1805 - Mike Tyson
"Ain't never gonna be another Mike Tyson, he's the greatest EVER!",reaction,Joe Rogan Experience #1805 - Mike Tyson
They had some good chemistry this episode. Great listen,reaction,Joe Rogan Experience #1805 - Mike Tyson
Mike Tyson is an intelligent man.,reaction,Joe Rogan Experience #1805 - Mike Tyson
I actually really enjoy Mikes philosophy. He is way smarter than I first anticipated,reaction,Joe Rogan Experience #1805 - Mike Tyson
When Mike says “listen” I’m listening!!,reaction,Joe Rogan Experience #1805 - Mike Tyson
Really love the Iron Mike Tyson story .. followed him for decades massive fan of him .. he’s been to the very top of his sport and wealth to the very bottom again and am glad to see him rise and become the man and person nobody could see outside the sport of boxing .. Mike is one very clever person don’t be fooled by his past .. great to see him being loved by the people,analysis,Joe Rogan Experience #1805 - Mike Tyson
Happiness is overcoming adversity-Mike Tyson,reaction,Joe Rogan Experience #1805 - Mike Tyson
Mike Tyson is a proper legend and the vibe he has the whole interview is fucking amazing. Love your work Joe and Mike,reaction,Joe Rogan Experience #1805 - Mike Tyson
Mike and Joe have so much in common in terms of interests it's crazy,hot_take,Joe Rogan Experience #1805 - Mike Tyson
I love watching Joe Rogan with Mike Tyson hang out. They have such a amazing vibe together,reaction,Joe Rogan Experience #1805 - Mike Tyson
i just love hearing mike speak he sounds like he been through it and wise,reaction,Joe Rogan Experience #1805 - Mike Tyson
I could listen to Mike Tyson everyday. I'm always so impressed with the things he knows about and that he really loves learning things. He is funny and wordly. What a life he has had and it is amazing how far he has come in his life and the growth as a human he has made. Mike is a winner in the ring and in life. I love you Mike!,analysis,Joe Rogan Experience #1805 - Mike Tyson
Mike is the most entertaining person he's interviewed yet.,reaction,Joe Rogan Experience #1805 - Mike Tyson
Mike Tyson is one of the most BEAUTIFUL human beings on the face of the planet. He's my favorite athlete of all time.,hot_take,Joe Rogan Experience #1805 - Mike Tyson
I love watching Mike laughing it’s great!,reaction,Joe Rogan Experience #1805 - Mike Tyson
At some points Mike sounds like Louis Armstrong! What a wonderful world...,hot_take,Joe Rogan Experience #1805 - Mike Tyson
"Joe is amazing, always in control.. normally what you/we would call the dominant person in the room ...in this interview/podcast he definitely avoids eye contact with Mike the whole time...eyes to the sky",reaction,Joe Rogan Experience #1805 - Mike Tyson
This is a perfect example of why Joe is the best...hes so comfortable..his guests feel so comfortable and then the magic happens...I always knew Mike was brilliant and deeply spiritual...but it really comes out in this podcast... because hes comfortable,analysis,Joe Rogan Experience #1805 - Mike Tyson
This guy is a philosopher. And a pretty good one.,reaction,Joe Rogan Experience #1805 - Mike Tyson
Joe Rogan gets better and better,reaction,Joe Rogan Experience #1805 - Mike Tyson
No one ever says anything bad about Mike Tyson. With being a beast. He's also a good guy.,hot_take,Joe Rogan Experience #1805 - Mike Tyson
"Mike talks about mentors, and it's true but he also was the type of kid to ask questions and listen. Sometimes survival needs a person to  be able to find the people in that environment who are beneficial. Not everybody can do that - that's an intellect. The first people to help him were the street criminals who flew pigeons. They physically protected him and showed him how to get money.

He's always found people who could help him (and helped them tremendously in return).",analysis,Joe Rogan Experience #1805 - Mike Tyson
"the greatest wild beast that ever got tamed is mike tyson, he has done a huge spiritual transformation since he was a fighter and he has become so wise!",reaction,Joe Rogan Experience #1805 - Mike Tyson
Mike never ceases to impress with his immense wisdom and knowledge across the board on countless topics  this version of mike  superceeds his prime  baddest man on the planet days older mike will command the crap out of young mike XD,analysis,Joe Rogan Experience #1805 - Mike Tyson
"Probably my favorite interview. They are both so natural and free flowing, smoking it up to boot. Cheers",hot_take,Joe Rogan Experience #1805 - Mike Tyson
"Mike is brilliant, I relate so much with him a lot with what he says because he gives it to you how he experiences it . I thought people around him made him play the game this way. But he’s doing what’s needed to sustain a life of a titan amongst mortal men. Super powers exist but in a human vessel. In Joes words (What a strange thing) . To be super man but be human as well. Crazy concoction. Why we are intrigued by people like Mike, and many others who’ve tapped into their gifts. I fuggs wit Mike . Salute king!!",reaction,Joe Rogan Experience #1805 - Mike Tyson
Mike is the living embodiment of what you can achieve when you have a positive father figure to guide you and the pitfalls of when you don't!,analysis,Joe Rogan Experience #1805 - Mike Tyson
I love listening to Mike talk story tells he speaks the truth,reaction,Joe Rogan Experience #1805 - Mike Tyson
Mike is so bright.,reaction,Joe Rogan Experience #1805 - Mike Tyson
Mike said “listen” over a thousand times in this podcast!,reaction,Joe Rogan Experience #1805 - Mike Tyson
"MIKE IS A LITERAL GODDAMN GENIUS, but i already knew this. this is a man that tapped into the all ether at a certain point in life, and his mind never forgot and never remained with that all seeing eye of knowledge and power. the man has more intuitive gifts that he trusts and accepts, it is refreshing to see.",analysis,Joe Rogan Experience #1805 - Mike Tyson
"What a great Iconic fighter and human Mike Tyson has become, love the guy, but unfortunately Boxing today is lost…its just not the great boxing days of the past with the build-up and all the prominent names and excitement that followed. 
I miss the heyday in boxing and all the legendary icons.",analysis,Joe Rogan Experience #1805 - Mike Tyson
Joe Rogan is never this agreeable,reaction,Joe Rogan Experience #1805 - Mike Tyson
Mike Tyson could had easily surpassed Muhammad Ali if Mike took boxing serious… at just 20 he was already superior than most boxers,analysis,Joe Rogan Experience #1805 - Mike Tyson
Joe needs to let Mike talk more. Mike is actually whipping Joe intellectually as well,hot_take,Joe Rogan Experience #1805 - Mike Tyson
Most overrated boxer ever,reaction,Joe Rogan Experience #1805 - Mike Tyson
"Joe Rogan is a bad Influence, smoking Weed on his podcast and offering guests to smoke",hot_take,Joe Rogan Experience #1805 - Mike Tyson
Tyson needs to be trainer,reaction,Joe Rogan Experience #1805 - Mike Tyson
"I strongly believe if Mike didn't had poor team at the last stage of his career, he would've ended his career like no one before.",analysis,Joe Rogan Experience #1805 - Mike Tyson
My father told me. It's not the size of the size of the man In the fight. It's the size of the fight In the man. Mike reminds me of my father. Thanks for everything Mr Tyson,reaction,Joe Rogan Experience #1805 - Mike Tyson
Your big cat is chuffing. He wants to know if you’re a threat. If you chuff back you’re telling him you’re not here to cause issues. But if you don’t chuff back….. it can be a sign that you are challenging.,analysis,Joe Rogan Experience #1805 - Mike Tyson
Mike and Joe talking about monkeys is very entertaining.,reaction,Joe Rogan Experience #1805 - Mike Tyson
I agree with the last dude. If it was a real fight Jake wouldn't do it.,analysis,Joe Rogan Experience #1805 - Mike Tyson
You can hear that he have smoked cigarettes his whole life.,reaction,Joe Rogan Experience #1805 - Mike Tyson
"I’ll listen to this 100 more times just to hear mike say, “no berries grow in the cold”",hot_take,Joe Rogan Experience #1805 - Mike Tyson
"You can see how happy and comfortable Mike is with Joe, he's never this open and  transparent with anybody in interviews, this is what Joe does he doesn't interview he has a conversation, compare this to when Mike spoke with Vlad completely different Mike Tyson.",analysis,Joe Rogan Experience #1805 - Mike Tyson
This man is a legend,reaction,Joe Rogan Experience #1805 - Mike Tyson
"i love way Mike Tyson is open to learn things or the perspective he takes when talking to Joe. He reminds me of me when I'm stoned. When Joe asked Mike if he knew about the giant chimpanzees and he lite up and he responds so  enthusiastically ""no but lets check it out."" made me laugh. Not only is he one of the baddest most driven and discipline men on the planet,  i bet he be one of the coolest mfer to smoke a joint and kick it with. it would make my year to smoke a joint with Mike Tyson! Thank you for another great pod cast Joe keep em coming!",reaction,Joe Rogan Experience #1805 - Mike Tyson
Just found your show through my interest in the human experience. I love it! Sitting here alone knitting and listening to such a variety of subjects and the most interesting of people's views is nothing short of brilliant. Thank you.,reaction,Joe Rogan Experience #1805 - Mike Tyson
15 minutes in and I can’t help but realize I’m listening to a couple of stoned dudes. Wow man…! So profound!,reaction,Joe Rogan Experience #1805 - Mike Tyson
Mike spitting wisdom for 3:30 hours,reaction,Joe Rogan Experience #1805 - Mike Tyson
"In my opinion..for what it’s worth obviously…that man is the greatest boxer that ever lived.end of.I feel privileged to have witnessed his greatness as a young teenager in the 80’s.There’s never going to be another Mike.
Hope he knows how much he is loved.
From London 
Peace",analysis,Joe Rogan Experience #1805 - Mike Tyson
Need another tyson podcast after the fight,reaction,Joe Rogan Experience #1805 - Mike Tyson
In this podcast i hear hey listen.. more than My English class in 15 years lol,reaction,Joe Rogan Experience #1805 - Mike Tyson
Joe rogan should run for president in 2028,reaction,Joe Rogan Experience #1805 - Mike Tyson
Joe Rogan gets better and better,reaction,Joe Rogan Experience #1805 - Mike Tyson
Mike breathes so loudly nowadays,reaction,Joe Rogan Experience #1805 - Mike Tyson
"Mike: Jordan, Tyson and Jackson. Best that is ever made",reaction,Joe Rogan Experience #1805 - Mike Tyson
"He's gained great wisdom because of his open mind, his curiosity, and his courage to go deep within and grapple with his demons. Few possess all three, thus, few possess wisdom.",analysis,Joe Rogan Experience #1805 - Mike Tyson
"Mike is incredibly knowledgable, you think he's just a fighter but man is he smart!",hot_take,Joe Rogan Experience #1805 - Mike Tyson
Theres too much scientific science out there. The most tyson quote ever,hot_take,Joe Rogan Experience #1805 - Mike Tyson
Love watching Mike be 100% comfortable funny and loving,reaction,Joe Rogan Experience #1805 - Mike Tyson
"Wow. Still smiling after listening. 
What a fascinating & interesting conversation. 
I learnt so much.
I will add Mike to my list of dinner table guests.",reaction,Joe Rogan Experience #1805 - Mike Tyson
"Omg man I love tyson, and so happy for him, he looks like he's very much at peace and very much relaxed in a positive aura, and man you're actually so funny, you the man Mike! I look up to you heaps and hope to change my life around.. currently suffering from drug addiction and a terrible rocky road, love from australia 🇦🇺 , keep doing you brother",reaction,Joe Rogan Experience #1805 - Mike Tyson
Love how well versed mike is in history,reaction,Joe Rogan Experience #1805 - Mike Tyson
